BUSINESS NAME,START OF BREACH,END OF BREACH,DATE REPORTED,MONTANANS AFFECTED
"Carr, Riggs & Ingram, LLC",02/16/2021,03/31/2021,05/13/2021,1
Don Roberto Jewelers,02/16/2021,3/03/2021,04/14/2021,8
LI-COR,02/16/2021,02/16/2021,03/19/2021,1
Carmel Clay Schools,02/15/2021,02/24/2021,09/20/2021,6
Eiger Biopharmaceuticals,02/15/2021,03/31/2021,08/13/2021,1
"Carisch, Inc.",02/14/2021,02/14/2021,4/01/2021,3772
Underwriters Laboratories Inc.,02/13/2021,02/13/2021,03/22/2021,4
"MFA Financial, Inc",2/12/2021,3/10/2021,9/01/2021,8
FloForm Industries LLC,2/11/2021,2/11/2021,04/13/2021,9
Lake Forest College,2/11/2021,2/11/2021,3/03/2021,3
"Intown Suites Management, Inc.",2/10/2021,4/04/2021,5/06/2021,2
Cuyahoga Metropolitan Housing Authority,2/10/2021,2/10/2021,4/12/2021,2
Ark Naturals,2/08/2021,02/23/2021,10/14/2021,1
Indian Creek Foundation,2/06/2021,2/07/2021,09/13/2021,1
CaptureRx,2/06/2021,2/06/2021,5/05/2021,241
Resort Lifestyle Communities,2/06/2021,2/06/2021,04/15/2021,4
Nationwide Mutual Insurance Company,2/06/2021,4/03/2021,4/12/2021,1
"Elk & Elk Co., Ltd",2/05/2021,04/14/2021,09/30/2021,2
"Hattrup & Associates, P.S.",2/05/2021,4/01/2021,09/24/2021,1
Automatic Funds Transfer Services,2/04/2021,2/04/2021,03/18/2021,2
"SCUF Gaming International, LLC",2/03/2021,03/16/2021,10/04/2021,83
"MRAG Americas, Inc.",2/02/2021,2/03/2021,08/24/2021,7
Hudson Envelope of New Jersey Corp.,2/02/2021,07/19/2021,08/19/2021,15
Hagerty Insurance Agency,2/02/2021,4/02/2021,04/13/2021,7
BSN Sports,2/02/2021,2/02/2021,02/26/2021,108
Oak Valley Community Bank,2/01/2021,2/02/2021,5/11/2021,19
"Hannis T Bourgeois, LLP",01/31/2021,05/28/2021,8/04/2021,8
Gonzales Park,01/31/2021,2/10/2021,03/16/2021,5
AxleHire Inc.,01/31/2021,01/31/2021,02/17/2021,1
Trusted Health Plans,01/28/2021,01/28/2021,4/08/2021,
Squirrel Hill Health Center,01/28/2021,2/04/2021,4/02/2021,1
American Armed Forces Mutual Aid Association,01/28/2021,01/31/2021,3/05/2021,470
"Blackhawk Mining, LLC",01/28/2021,01/28/2021,3/03/2021,2
"Cottingham & Butler, Inc.",01/27/2021,01/27/2021,08/23/2021,53
Envision Pharma Group Ltd.,01/26/2021,01/26/2021,04/27/2021,1
The Leona Group,01/25/2021,03/24/2021,10/18/2021,8
Golden Entertainment,01/24/2021,01/31/2021,09/24/2021,15
GEICO,01/24/2021,3/01/2021,4/09/2021,28
Team One Adjusting Services,01/24/2021,01/24/2021,02/19/2021,4
BankFlorida,01/23/2021,03/16/2021,08/23/2021,1
"Flagstar Bank, FSB",01/22/2021,01/22/2021,03/15/2021,7245
"Dawson James Securities, Inc.",01/22/2021,01/22/2021,3/01/2021,7
"Caerus Operating, LLC",01/21/2021,01/23/2021,8/11/2021,1
Postlethwaite & Netterville,01/21/2021,03/23/2021,8/05/2021,4
Rehoboth McKinley Christian Health Care Services,01/21/2021,2/05/2021,05/19/2021,386
"Noblr Risk Management, LLC",01/21/2021,01/27/2021,05/14/2021,34
"Ryan, Swanson & Cleveland",01/21/2021,01/21/2021,04/16/2021,1
Kohler Hospitality,01/21/2021,01/21/2021,04/15/2021,2
Health Care Service Corporation,01/21/2021,01/21/2021,02/19/2021,1
"Rakuten USA, Inc.",01/21/2021,01/21/2021,2/11/2021,1
Goodwin Proctor LLP,01/20/2021,01/20/2021,4/09/2021,9
Memorial Sloan Kettering Cancer Center,01/20/2021,01/22/2021,03/31/2021,4
Personal Touch Holding Corp.,01/20/2021,01/27/2021,03/26/2021,4
"Sequoia Capital Operations, LLC",01/20/2021,01/20/2021,02/18/2021,3
Immanuel Luther Communities,01/19/2021,01/19/2021,4/02/2021,173
"Illinois Foundation Seeds, Inc. (IFSI)",01/18/2021,02/24/2021,08/16/2021,1
Gyrodata Incorporated,01/16/2021,02/22/2021,04/22/2021,10
Locati Architects LLC,01/16/2021,01/25/2021,02/17/2021,1
"Sugarfina USA, LLC",01/15/2021,01/15/2021,05/25/2021,50
MailMyPrescriptions.com Pharmacy Corporation,01/15/2021,01/15/2021,4/08/2021,54
Bricker & Eckler,01/14/2021,01/31/2021,4/06/2021,15
Insulet Corporation,01/13/2021,01/13/2021,03/18/2021,30
"Sierra Wireless, Inc.",1/12/2021,03/20/2021,10/22/2021,7
"Allergy Partners, PLLC",1/12/2021,02/23/2021,04/23/2021,2
Cancer Treatment Centers of America,1/12/2021,01/18/2021,03/19/2021,364
"Blueknight Energy Partners, L.P.",1/12/2021,1/12/2021,2/12/2021,1
Ag Solutions IT LLC,1/11/2021,1/11/2021,4/12/2021,15
"McDougall & Sons, Inc.",1/11/2021,1/11/2021,04/15/2021,7
"Gastroenterology Consultants, P.A.",1/10/2021,1/10/2021,8/06/2021,16
Koch Industries,1/08/2021,1/12/2021,2/08/2021,1
"Lion Street Financial, LLC",1/07/2021,02/15/2021,09/30/2021,39
"Blade HQ, LLC",1/07/2021,4/11/2021,04/20/2021,469
JLA Professional Services,1/07/2021,1/07/2021,04/16/2021,2
"Strat-O-Matic Media, LLC",1/05/2021,2/08/2021,3/02/2021,5
"Capital Brands Holdings, LLC",1/04/2021,1/05/2021,04/27/2021,48
Washington Education Association,1/04/2021,1/04/2021,4/12/2021,17
"Doosan Fuel Cell America, Inc.",1/03/2021,01/22/2021,04/27/2021,1
Brotherhood's Relief & Compensation Fund,1/03/2021,1/03/2021,2/05/2021,1059
"Navistar, Inc.",1/01/2021,05/20/2021,09/21/2021,32
"CBIZ Accounting, Tax & Advisory of Utah",12/30/2020,12/30/2020,03/30/2021,12
CSX Transportation,12/25/2020,12/25/2020,03/16/2021,13
"Fortior Solutions, LLC",12/24/2020,12/24/2020,04/30/2021,2
The Board of Trustees of Southern Illinois University (SIU HealthCare),12/24/2020,01/21/2021,03/25/2021,3
Kroger Company,12/24/2020,12/29/2020,03/17/2021,8
The Kroger Co. (Accellion),12/24/2020,12/29/2020,02/19/2021,5600
Ascentium Corp.,12/24/2020,12/24/2020,2/12/2021,
El Paso Electric Company,12/22/2020,12/24/2020,03/22/2021,2
APC Workforce Solutions,12/21/2020,12/21/2020,4/07/2021,27
Yeshiva University,12/21/2020,12/23/2020,4/12/2021,3
SurgiCare Center of Utah,12/21/2020,12/21/2020,03/16/2021,41
"City of Ellensburg, Washington",12/21/2020,12/21/2020,2/10/2021,41
Harvard Business School,12/21/2020,12/23/2020,1/11/2021,1
PCS Revenue Control Systems,12/19/2020,12/19/2020,03/24/2021,32
"POWER Engineers, Inc.",12/19/2020,3/03/2020,8/04/2020,65
Mercy Grace Private Practice,12/18/2020,12/18/2020,08/30/2021,2
"SmartStart Employment Screening, Inc.",12/18/2020,12/18/2020,08/24/2021,81
Hamilton Beach Brands,12/18/2020,2/04/2021,4/09/2021,17
Aon Corporation,12/17/2020,12/17/2020,05/21/2021,3
Kemper CPA Group,12/17/2020,12/17/2020,02/18/2021,11
Merrick & Company,12/16/2020,1/04/2021,04/22/2021,8
KHJ Brand Activation,12/16/2020,3/02/2021,03/30/2021,1
Jacuzzi Inc.,12/15/2020,12/18/2020,02/23/2021,3
"JMA Energy Company, LLC",12/15/2020,12/15/2020,01/22/2021,19
Hurtigruten,12/14/2020,12/14/2020,3/01/2021,29
H&R Block,12/14/2020,12/14/2020,01/18/2021,1
"Sober living by the Sea, Inc.",12/13/2020,12/13/2020,5/10/2021,1
"Sierra Tucson, LLC",12/13/2020,12/13/2020,5/10/2021,1
"Aspen Education Group, Inc.",12/13/2020,12/13/2020,5/10/2021,263
"Lakeland Hospital Acquisition, LLC",12/13/2020,12/14/2020,2/12/2021,2
Twelve Oaks Recovery Center,12/13/2020,12/14/2020,2/12/2021,2
The Honey Baked Ham Company,12/13/2020,12/13/2020,01/26/2021,3
Bretz RV & Marine,12/11/2020,12/11/2020,12/23/2020,1897
"BW Homecare Holdings, LLC (Elara Caring)",12/09/2020,12/16/2020,02/17/2021,6
Southern California Center for Anti-Aging,12/09/2020,12/09/2020,2/05/2021,1
Los Angeles Community College District,12/09/2020,12/09/2020,1/12/2021,9
Sugar and Steel Corporation,12/08/2020,12/22/2020,09/17/2021,6
Offit Kurman,12/08/2020,12/08/2020,8/03/2021,3
"Westech Systems, Inc.",12/08/2020,01/21/2021,3/04/2021,1
"Partnerships in Community Living, Inc.",12/07/2020,12/07/2020,04/27/2021,1
"Todd & Sargent, Inc.",12/07/2020,12/07/2020,4/07/2021,1
Ponderosa Advisors LLC,12/07/2020,12/07/2020,03/26/2021,31
Case Farms,12/06/2020,12/06/2020,01/28/2021,1
Dassault Falcon Jet Corp.,12/06/2020,12/06/2020,12/31/2020,10
Colorado Farm Bureau Insurance Company,12/04/2020,1/07/2021,04/28/2021,1
"Florida League of Cities, Inc.",12/03/2020,12/03/2020,05/18/2021,1
Los Angeles Philharmonic Association,12/03/2020,12/16/2020,3/04/2021,4
Primland Ltd.,12/02/2020,05/25/2021,09/24/2021,1
"AmeriFirst Financial, Inc.",12/02/2020,12/10/2020,04/15/2021,8
"Divvy Up, Inc.",12/01/2020,3/08/2021,5/03/2021,113
GR Energy Services,12/01/2020,12/18/2020,3/03/2021,7
"PFU America, Inc.",11/30/2020,7/27/2021,9/17/2021,13
Vertafore,11/30/2020,06/15/2021,8/09/2021,2
Cornerstone Building Brands,11/30/2020,12/24/2020,05/21/2021,1
American CPR Care Association (Quality CPR Care LLC),11/29/2020,12/16/2020,03/15/2021,48
American Health Care Academy,11/29/2020,12/16/2020,03/15/2021,137
Charles Stewart Mott Community College,11/27/2020,1/09/2021,4/01/2021,6
PrimeLending,11/26/2020,12/03/2020,4/02/2021,2
"Warehouse Services, Inc.",11/26/2020,12/10/2020,2/02/2021,1
Diversified Gas & Oil Corporation,11/25/2020,11/25/2020,3/04/2021,1
Diversified Gas & Oil Corporation,11/25/2020,11/25/2020,01/27/2021,53
Abeo Solutions Inc. d/b/a Crystal Practice Management,11/24/2020,11/24/2020,10/13/2021,2
SafetyCall International,11/24/2020,12/03/2020,10/11/2021,27
SafetyCall International,11/24/2020,12/03/2020,10/11/2021,2
LifeLong Medical Care,11/24/2020,02/25/2021,08/24/2021,23
SafetyCall International,11/24/2020,12/03/2020,8/06/2021,14
"American Freight, LLC",11/24/2020,12/09/2020,08/23/2021,34
SafetyCall International,11/24/2020,01/14/2021,8/06/2021,45
Neighborhood Healthcare,11/24/2020,12/03/2020,4/08/2021,4
Simpson Senior Services (SSS),11/24/2020,11/24/2020,12/31/2020,1
Health Prime International,11/23/2020,11/26/2020,03/31/2021,1
Mass General Brigham Incorporated,11/23/2020,11/24/2020,12/18/2020,2
San Diego Family Care,11/22/2020,12/03/2020,5/07/2021,16
"Tower Hill Insurance Group, LLC",11/20/2020,12/02/2020,03/24/2021,1
Little Rock Advertising and Promotion Commission/ Little Rock Convention and Visitors Bureau,11/19/2020,11/22/2020,07/28/2021,1
Clearway Energy Group LLC,11/19/2020,2/02/2021,05/20/2021,1
II-VI Incorporated,11/19/2020,11/19/2020,12/07/2020,1
Aladdin Capital,11/18/2020,11/24/2020,09/27/2021,3
"Citywide Home Loans, LLC",11/18/2020,11/29/2020,2/12/2021,239
Automation Personnel Services,11/17/2020,11/17/2020,03/16/2021,4
Americold Realty Trust,11/16/2020,11/16/2020,3/04/2021,62
Corval Group,11/16/2020,11/16/2020,01/26/2021,70
"Arrow Truck Sales, Inc.",11/16/2020,11/30/2020,1/08/2021,5
MTS Systems Corporation,11/15/2020,11/15/2020,03/23/2021,3
Colin Rocky Hackett Law,11/15/2020,11/15/2020,03/15/2021,6
"Edwards Law Office, P.C.",11/14/2020,11/17/2020,05/13/2021,1
Inter-State Studio & Publishing Co.,11/13/2020,01/26/2021,03/24/2021,30
Port of Kennewick,11/13/2020,11/16/2020,3/02/2021,1
"Lincoln County, Washington",11/13/2020,11/19/2020,1/07/2021,1
Garrett Hemann Robertson,11/12/2020,11/13/2020,3/09/2021,1
"Grass Valley USA, LLC",11/12/2020,11/15/2020,11/24/2020,1
Belden Inc.,11/12/2020,11/12/2020,12/14/2020,2
"Defender Industries, Inc.",11/11/2020,04/15/2021,05/21/2021,63
"Atrium Windows and Doors, Inc.",11/11/2020,12/24/2020,05/21/2021,5
"Sizzling Platter, LLC",11/11/2020,11/11/2020,04/23/2021,3
Holmes Murphy and Associates,11/11/2020,11/11/2020,03/30/2021,10
Tree Top,11/10/2020,11/11/2020,12/23/2020,38
Sam's Club,11/10/2020,11/10/2020,12/10/2020,1
WillScot Mobile Mini Holdings Corp.,11/10/2020,11/10/2020,11/20/2020,2
Perkins & Co,11/08/2020,12/03/2020,5/04/2021,21
Perkins & Co,11/08/2020,12/03/2020,04/23/2021,115
PKF O'Connor Davies,11/08/2020,12/10/2020,4/02/2021,8
"DJO Global, Inc.",11/08/2020,11/09/2020,12/23/2020,1
E & J Gallo Winery,11/07/2020,11/17/2020,02/19/2021,9
United Food and Commercial Workers Union Local 881 AFL-CIO,11/06/2020,11/07/2020,02/19/2021,4
First Western Federal Savings Bank,11/04/2020,11/05/2020,04/21/2021,3
"Harry Norman, Realtors",11/04/2020,12/29/2020,3/03/2021,1
Direct Energy LP,11/03/2020,11/03/2020,12/02/2020,84
NTS Holding Corporation,11/02/2020,03/17/2021,8/05/2021,2
First State Bank,11/02/2020,11/09/2020,1/05/2021,
"Cougar Den, Inc.",11/01/2020,2/01/2021,5/07/2021,1
"Veada Industries, Inc.",11/01/2020,03/23/2021,04/23/2021,2
"Capcom U.S.A., Inc.",11/01/2020,11/01/2020,03/23/2021,1
Campari Group,11/01/2020,11/01/2020,12/17/2020,1
Humana Inc.,11/01/2020,11/05/2020,12/02/2020,5
"Cayan, LLC",10/29/2020,11/18/2020,04/22/2021,8
Simms Fishing Products,10/29/2020,11/24/2020,2/05/2021,68
"Thomas D. Mangelsen, Inc.",10/29/2020,11/19/2020,12/31/2020,3
"Chatham County, North Carolina",10/28/2020,10/28/2020,04/27/2021,1
Cedar Springs Hospital,10/28/2020,10/28/2020,12/09/2020,8
"Insurance Audit Services, Inc.",10/28/2020,10/28/2020,11/30/2020,3
Morris 4x4,10/27/2020,10/29/2020,3/05/2021,4
Wolf Medical Supply,10/26/2020,08/17/2021,09/27/2021,1
Central Illinois Carpenters Retirement Savings Fund,10/26/2020,10/26/2020,12/28/2020,8
Higher Education Servicing Corporation,10/25/2020,1/04/2021,02/15/2021,12
Kohler Credit Union,10/23/2020,11/30/2020,03/25/2021,6
US Claims Capital,10/23/2020,12/04/2020,2/05/2021,6
Health Center Partners of Southern California,10/22/2020,12/02/2020,4/08/2021,59
First Bank & Trust Seymour (American Banking Systems),10/22/2020,11/18/2020,01/21/2021,8
South Georgia Bank (American Banking Systems),10/22/2020,11/18/2020,01/19/2021,4
First State Bank (American Banking Systems),10/22/2020,11/18/2020,12/30/2020,6
Carson Bank,10/22/2020,10/22/2019,12/28/2020,9
American Bank Systems,10/22/2020,10/22/2020,12/04/2020,1
"Cowboy Bancshares, Inc. (American Banking Systems)",10/22/2020,11/18/2020,12/22/2020,3
Mesa Financial Corporation (American Banking Systems),10/22/2020,11/18/2020,12/17/2020,2
"Royal Bancshares, Inc. (American Banking Systems)",10/22/2020,11/18/2020,12/16/2020,18
Community Bank of Cameron (American Banking Systems),10/22/2020,11/18/2020,12/18/2020,16
Bank of Forest (American Banking Systems),10/22/2020,11/18/2020,12/18/2020,1
First Security State Bank (American Banking Systems),10/22/2020,11/18/2020,12/04/2020,7
InFirst Bank (American Banking Systems),10/22/2020,11/18/2020,12/04/2020,16
Oakwood Bank (American Banking Systems),10/22/2020,11/18/2020,12/04/2020,4
NexTier Bank,10/22/2020,10/22/2020,12/16/2020,13
Oxford University Bank (American Banking Systems),10/22/2020,10/27/2020,12/04/2020,4
Impact Bank,10/22/2020,11/02/2020,12/04/2020,1
Southern Orthopaedic Surgeons,10/20/2020,6/11/2021,8/09/2021,1
Cardinal Logistics Management Corp.,10/20/2020,10/20/2020,3/02/2021,4
"Life Quotes, Inc.",10/20/2020,11/23/2020,12/31/2020,45
"Minerals Technologies, Inc.",10/20/2020,10/20/2020,11/24/2020,440
"Sunland Asphalt & Construction, LLC",10/19/2020,10/19/2020,02/19/2021,1
"Grand River Medical Group, P.C.",10/19/2020,10/22/2020,2/08/2021,3
Island Hotel Company Limited (Atlantis Paradise Island),10/17/2020,10/19/2020,3/08/2021,8
Apprentice & Journeymen Training Trust Fund of Southern California,10/16/2020,10/16/2020,2/11/2021,6
"Atlas Insurance Agency, Inc.",10/15/2020,10/15/2020,7/12/2021,1
USG Insurance Services,10/15/2020,10/17/2020,4/01/2021,10
Krupnik & Speas,10/14/2020,10/14/2020,4/06/2021,1
Wilson Elser Moskowitz Edelman and Dicker LLP,10/14/2020,10/15/2020,01/15/2021,8
Roper St. Francis Healthcare,10/14/2020,10/29/2020,1/08/2021,23
"US Med, LLC",10/14/2020,10/14/2020,11/30/2020,2
Matson Navigation Company,10/14/2020,10/14/2020,10/30/2020,38
Providence St. Joseph Health,10/13/2020,10/13/2020,12/11/2020,1
Southeast Health Center of Ripley County,10/13/2020,10/13/2020,02/26/2021,1
American Health Information Management Association,10/13/2020,10/13/2020,1/05/2021,30
"Midwest Geriatric Management, LLC",10/13/2020,10/14/2020,12/14/2020,1
Humana,10/12/2020,12/16/2020,02/25/2021,310
UniPro Foodservice,10/12/2020,10/27/2020,1/12/2021,1
Sugar Bowl Corporation,10/12/2020,10/12/2020,12/30/2020,18
Sonoma Valley Hospital,10/11/2020,10/11/2020,12/11/2020,45
"Great Performances/ Artists as Waitresses, Inc.",10/10/2020,03/15/2021,8/05/2021,2
Texas Regional Bank,10/10/2020,10/22/2020,01/28/2021,1
"Ultratec, Inc.",10/09/2020,11/04/2020,5/05/2021,13
Glaukos Corp.,10/09/2020,10/09/2020,3/12/2021,1
Cooper Machinery Services,10/07/2020,10/07/2020,05/14/2021,1
Byrne Insurance Group,10/06/2020,11/02/2020,4/07/2021,1
OmniTRAX,10/06/2020,10/08/2020,03/22/2021,11
Tom Wood Group,10/05/2020,10/19/2020,2/05/2021,7
Rockingham Mutual Group,10/02/2020,10/02/2020,09/17/2021,5
Various Employers,10/02/2020,10/02/2020,05/14/2021,1
New England Development,10/02/2020,10/04/2020,12/09/2020,7
Backroads,10/02/2020,10/16/2020,11/19/2020,41
"IntelliSource, LLC",10/01/2020,12/07/2020,03/15/2021,1
Mascoutah School District 19,10/01/2020,10/08/2020,1/08/2021,1
Sentinel Technologies,10/01/2020,10/31/2020,12/23/2020,2
National Education Association,10/01/2020,10/01/2020,10/16/2020,1
REEF Global Inc.,09/30/2020,10/15/2020,05/14/2021,8
L.B. Foster Company,09/30/2020,10/04/2020,03/22/2021,1
"Wind River Systems, Inc",09/29/2020,09/29/2020,01/29/2021,2
Discover,09/29/2020,11/15/2020,12/17/2020,7
River City Bank,09/29/2020,09/29/2020,11/20/2020,20
"Insignia Environmental, Inc.",09/28/2020,10/03/2020,3/01/2021,1
Helena Public Schools,09/28/2020,09/28/2020,12/04/2020,10
"USNR, LLC",09/28/2020,10/25/2020,12/04/2020,4
Health Plan of San Jaoquin,09/26/2020,10/12/2020,05/18/2021,55
E.W. Wylie Corporation,09/25/2020,09/25/2020,11/13/2020,7
Haven Behavioral Healthcare,09/24/2020,09/27/2020,03/23/2021,6
Syracuse University,09/24/2020,09/28/2020,2/05/2021,5
Discover Technologies LLC,09/23/2020,12/06/2020,3/12/2021,6
Clarus Corporation,09/23/2020,10/04/2020,12/29/2020,5
"Natural Habitat, Inc.",09/22/2020,09/24/2020,04/28/2021,72
Kentucky Wesleyan College,09/22/2020,09/22/2020,03/22/2021,5
Museum of the American Revolution,09/22/2020,10/13/2020,3/10/2021,3
Richardson Sales Performance,09/22/2020,11/06/2020,02/18/2021,1
The Mid-America Management Corporation,09/22/2020,10/18/2020,01/29/2021,1
Brookwood Financial Partners LLC,09/22/2020,09/22/2020,12/15/2020,1
Co-op Credit Union,09/22/2020,09/29/2020,12/14/2020,1
Indian Health Council Inc.,09/22/2020,09/22/2020,11/20/2020,3
"Building Material Distributors, Inc.",09/18/2020,09/18/2020,05/26/2021,4
"Dental Care Alliance, LLC",09/18/2020,10/13/2020,12/07/2020,25
Wyndham Capital Mortgage,09/18/2020,09/18/2020,10/16/2020,84
"Brinkman Construction, Inc.",09/17/2020,10/13/2020,2/10/2021,1
"Shift Technologies, Inc.",09/17/2020,11/05/2020,01/14/2021,2
Baker Tax & Accounting,09/17/2020,09/21/2020,11/05/2020,6
"UAMG, LLC",09/17/2020,09/23/2020,10/23/2020,1
Cintas Corporation,09/16/2020,09/20/2020,02/15/2021,1
Ziegler,09/15/2020,09/27/2020,11/30/2020,21
Penn United Technologies,09/15/2020,09/23/2020,10/15/2020,1
Public Knowledge LLC,09/15/2020,09/17/2020,10/28/2020,4
"Turning Point Brands, Inc. (Vaporfi, DirectVapor)",09/14/2020,09/23/2020,12/21/2020,29
Sam’s Club,09/13/2020,09/24/2020,10/21/2020,704
AspenPointe,9/12/2020,09/22/2020,11/19/2020,38
Maps Credit Union,9/11/2020,9/11/2020,12/16/2020,1
University Hospital,9/10/2020,9/10/2020,11/12/2020,2
Omnetics Connector Corporation,9/09/2020,9/09/2020,10/23/2020,1
Portola Partners Group,9/08/2020,9/08/2020,10/06/2020,2
"Syufy Enterprises, LP",9/07/2020,09/15/2020,08/24/2021,6
St. Norbert College,9/07/2020,9/07/2020,1/08/2021,4
Toledo Public Schools,9/06/2020,9/08/2020,12/14/2020,3
Etz Hayim Holdings (Lazarus Naturals),9/05/2020,09/14/2020,11/30/2020,31
JX Enterprises,9/04/2020,9/04/2020,11/13/2020,3
American Addiction Centers,9/04/2020,9/04/2020,10/08/2020,1
Schnabel Foundation Company,9/01/2020,12/31/2020,4/09/2021,1
United Bank Corporation,9/01/2020,09/30/2020,02/24/2021,11
"E.R. Snell Contractor, Inc.",9/01/2020,9/06/2020,01/14/2021,1
Treasure Valley Community College,9/01/2020,9/01/2020,12/29/2020,76
"H.N.R. Clark, Inc.",9/01/2020,10/31/2020,12/10/2020,2
"Vitamin Portfolio (drhyman.com, ultrawellnesscenter.com, healthylivingshop.com)",08/31/2020,08/31/2020,02/15/2021,38
"National Board for Certified Counselors, Inc.",08/31/2020,9/07/2020,1/12/2021,1743
5th Avenue Theatre Association,08/30/2020,08/30/2020,09/28/2020,4
Absher Construction Company,08/28/2020,08/29/2020,01/27/2021,1
"Hughes Socol Piers Resnick & Dym, Ltd.",08/28/2020,09/14/2020,12/11/2020,1
Nebraska Medical Center,08/27/2020,09/20/2020,2/05/2021,36
Crystal Lake Clinic PC,08/26/2020,08/26/2020,4/09/2021,3
Stephen Gould Corporation,08/25/2020,09/19/2020,05/18/2021,1
Bayard P.A.,08/25/2020,08/27/2020,2/12/2021,1
Clark County School District,08/25/2020,07/27/2020,9/08/2020,26
Fairway Independent Mortgage Corporation,08/24/2020,08/26/2020,4/12/2021,6
"Glatt, Maney, Kling & Rufer, CPAs P.C.",08/24/2020,08/24/2020,11/23/2020,4
"Devine, Millimet & Branch, P.A.",08/24/2020,08/24/2020,12/18/2020,2
The Long & Fosters Companies,08/22/2020,08/22/2020,09/15/2020,5
Walman Opitcal Company,08/21/2020,08/21/2020,03/19/2021,146
"Westlake Hardware, Inc.",08/21/2020,08/30/2020,2/10/2021,4
Haywood County Schools,08/21/2020,08/24/2020,1/05/2021,1
IMI Precision Engineering (Bimba),08/21/2020,11/13/2020,12/23/2020,3
Fairfax County Public Schools,08/21/2020,9/06/2020,11/09/2020,14
"Montgomery Hospice, Inc.",08/20/2020,11/16/2020,01/15/2021,1
"The GEO Group, Inc.",08/19/2020,08/19/2020,11/03/2020,1
DXP Enterprises Inc.,08/18/2020,08/22/2020,10/09/2020,13
"J.B. Hunt Transport, Inc.",08/17/2020,7/02/2021,10/20/2021,118
"Bosley, Inc.",08/17/2020,08/17/2020,01/26/2021,162
