Name.of.Company,Date.of.the.Breach,Date.of.Notification,ME.Affected
"The Fruitful Yield, Inc., 229 W. Roosevelt Road, Lombard, IL 60148",2016-01-07,2016-04-20,32
"Geltrude & Company, LLC,513 Franklin Avenue, Nutley, NJ 07110",2016-03-12,2016-04-19,2
"Lucky Pet, 4301 Aurora Avenue North, Seattle, WA 98103",NA,2016-04-18,79
"Highway Toll Administration, P.O. Box 30, Roslyn Heights, NY 11577",2016-01-22,2016-04-15,1
"Seven Hills Foundation, Inc., 81 Hope Avenue, Worcester, MA 01603",2016-04-08,2016-04-15,2
"TTI Floor Care North America, 8405 IBM Drive, Charlotte, NC 28262",2015-10-26,2016-04-15,2
Tidewater Community College,2016-03-02,2016-04-13,1
"Academy of Art University, 79 New Montgomery Street, San Francisco, CA 94105",2016-03-04,2016-04-12,2
"Nations Lending Corporation, 4 Summit Park Drive, Suite 200, Independence, OH 44131",2016-03-18,2016-04-11,1
"Schwaab, Inc., 12855 W. Lisbon Road, Suite 100,Brookfield, WI 53005",2014-01-22,2016-04-11,341
"Asure Software, 110 Wild Basin Road, Suite 100, Austin, TX 78746",2016-03-07,2016-04-07,1
"The Cook & Boardman Group, LLC",2016-03-15,2016-04-01,NA
"The Coast Distribution System, Inc., 500 W.Madison Street, Chicago, IL 60661",2016-03-23,2016-03-31,1
"Block and Company, Inc., 1111 Wheeling Road, Wheeling, IL 60090",2016-02-09,2016-03-31,4
"Citizens Financial Group, 100 Sockanosset Crossroad, Cranston, RI 02920",2016-12-05,2016-03-31,1
"Traphagen & Traphagen CPAs, LLC 234 Kinderkamack Road, Oradell, NJ 07649",2015-09-14,2016-03-30,3
"Burgess Advertising & Marketing, 1290 Congress Street, Portland, ME 04102",2016-03-08,2016-03-29,13
"GlaxoSmithKline LLC 5 Crescent Drive, NY 0300, Philadelphia, PA 19112",2016-02-17,2016-03-28,1
"Affinion Group, 6 High Ridge Park, Stamford, CT  06905",2016-02-22,2016-03-28,2
"Armstrong Backus & Co., LLP, 515 West Harris Avenue, Suite 200, San Angelo, TX 76902",2016-01-24,2016-03-28,1
"Mohawk Mountain Ski Area, Inc., 46 Great Hollow Road, Cornwall, CT 06753",2016-03-08,2016-03-24,1
"CareCentrix, Inc., 20 Church Street, 12th Floor, Hartford, CT 06103",2016-02-24,2016-03-21,1
"Gryphon Technologiies LC, 80 M Street SE, Suite 600, Washington, DC 20003",2016-02-29,2016-03-21,5
"Numerex Corp, 3330 Cumberland Blvd SE, Suite 700, Atlanta, GA 30339",2016-03-02,2016-03-17,1
"Netcracker Technology Corp., University Office Park, III, 95 Sawyer Road, Suite 600, Waltham, MA 02453",2016-03-10,2016-03-16,1
"Matrix Service Co., Matrix Service, Matrix PDM Engineering, Matrix North American Construction, Ltd and Matrix No. American Construction, Inc. (collectively, ""Matrix""), 5100 E. Skelly Dr., Ste. 700, Tulsa, OK 74135",2016-02-03,2016-03-11,3
"ConvaTec, Inc.",2016-02-29,2016-03-09,NA
"Seagate US LLC, 10200 S. De Anza Boulevard, Cupertino, CA 95014",2016-02-29,2016-03-09,1
"1-800-Flowers.com, One Old Country Road, Suite 500, Carle Place, NY 11514",2016-02-15,2016-03-08,14
"GCI, 2550 Denali Street, 1000, Anchorage, AK 99503-2751",2016-02-24,2016-03-08,1
"ISCO Industries, Inc., 100 Witherspoon Street 2 West, Louisville, KY 40202",2016-03-02,2016-03-07,2
"Applied Systems, Inc., 200 Applied Parkway, University Park, IL 60484",2016-02-19,2016-03-07,1
"21st Century Oncology, 2270 Colonial Boulevard, Fort Myers, FL 33907",2015-10-03,2016-03-04,1016
"Rosen Hotels & Resorts, 9840 International Drive, Orlando, FL 32819",2014-09-02,2016-03-04,NA
"Actifio, Inc., 333 Wyman Street, Waltham, MA 02451",2016-02-03,2016-03-02,1
"TN Marketing, 1903 Wayzata Blvd East, Wayzata, MN 55391",2015-11-24,2016-02-29,62
"Landry's, Inc., Golden Nugget Atlantic City, LLC, Golden Nuttet Lake Charles, LLC, GNL Corp, GNLV Corp., and Riverboat Corporation of Mississippi, 1510 W. Loop South, Houston, TX 77027",2014-05-05,2016-02-26,16
"Northern State Bank, 321 Main Street W, Ashland, Wisconsin 54806",2016-02-06,2016-02-25,84
"Lynn University, Boca Raton, Florida",2014-06-24,2016-02-19,2
"Superior Labels, 2390 Cumberland Square Dr., Bettendorf, IA 52722",2015-11-03,2016-02-25,42
"Poycom, Inc.",2016-02-05,2016-02-12,7
"Ballet Makers, Inc., d/b/a Capezio, One Campus Road, Totowa, NJ  07512",2015-10-07,2016-02-09,25
"QVC, Inc., 1200 Wilson Dr., West Chester, PA 19380",2015-11-24,2016-02-08,1
"Gyft, Inc., 150 W. Evelyn Ave., Suite 300, Mountain View, CA 94041",2015-10-03,2016-02-05,869
"University of Central Florida, 4000 Central Florida Blvd, Orlando, FL  32816",2015-12-30,2016-02-05,26
"Bailey's, Inc., 1222 Commerce Ave, Suite D, Woodland, CA 95776",2015-09-25,2016-02-02,225
"Toyota Motor Credit Corporation, 19001 So. Western Avenue, Privacy Compliance EF12, Torrance, CA 90501",2015-12-28,2016-02-02,NA
"Oiselle Running, Inc., 7109 Woodlawn Ave, NE, Suite 201, Seattle, WA 98115",2015-10-29,2016-02-01,14
"TaxSlayer, 3003 TaxSlayer Drive, Evans, GA 30809",2015-10-10,2016-01-29,35
"Richardson & Company, PC, 165 Village Street, Medway, MA  02053",2015-11-25,2016-01-29,19
"Neiman Marcus Group, One Marcus Square, 1618 Main Street, Dallas, TX 75201",2015-12-26,2016-01-29,5
"The Hain Celestial Group, Inc., 1111 Marcus Avenue, Lake Success, NY 11042",2015-05-16,2016-01-28,12
"id experts, 10300 SW Greenburg Road, Ste 570, Portland, OR 97223 (o/b/o Kicky Pants)",2015-09-24,2016-01-21,13
"John Scheepers Seeds, LLC (d/b/a John Scheepers Kitchen Garden Seeds), 23 Tulip Drive, P.O. Box 638, Bantam, CT 06750",2015-09-19,2016-01-18,2
"Intuit, Inc., 2535 Garcia Ave., Mountain View, CA  94043",2015-12-31,2016-01-15,10
Jacks Barbeque,2015-12-01,2016-01-14,1
Northshore Care Supply,2015-12-01,2016-01-14,5
Palace Casino Resort,2015-12-01,2016-01-14,2
"Hyatt Hotels Corporation, 71 South Wacker, Illinois 60606",2014-08-13,2016-01-14,NA
"HSBC Bank USA National Association, 1800 Tysons Boulevard, McLean, VA 22101",2015-12-07,2016-01-13,648
"JB Autosports, Inc.. 1-8 Jefferson Ave., Des Moines, Iowa 50314",2015-08-01,2016-01-13,14
"Phillip Capital, Inc., 141 West Jackson Boulevard, Suite 3050, Chicago, IL 60604",2015-10-23,2016-01-12,1
ShopAtHome.com,NA,2016-01-12,17
"Clarks Americas, Inc., 156 Oak Street, Newton Upper Falls, MA 02464",2015-12-17,2016-01-11,2
"Blucora, Inc., 1425 60th St., NE, Ste. 300, Cedar Rapids, IA 52402",2015-11-10,2016-01-08,2
"Livestream LLC, 195 Morgan Avenue, Brooklyn, NY  11237",2015-12-02,2015-12-24,NA
"Matson Navigation Company, Inc., 555 12th Street, Oakland, CA 94607",2015-11-09,2015-12-23,188
"Farm to Feet, 1546 Carter Street, Mount Airy, NC",2015-08-03,2015-12-23,5
"Dungarees, LLC, 500 East Broadway, Columbia, MO 65201",2015-10-15,2015-12-21,143
"Wilderness at the Smokies, 1424 Old Knoxville Hwy, Sevierville, TN 37876",2015-02-18,2015-12-17,NA
"Centerra Group, LLC through  ADP",2015-10-28,2015-12-14,1
"Cottage Health, 400 West Pueblo Street, Santa Barbara, CA  93015",2015-10-26,2015-12-03,2
"MUJI USA LIMITED, 250 W39th S., Suite 605, NY, NY 10018",2015-01-22,2015-11-30,NA
"Norton Rose Fulbright US LLP, Tabor Center, 1200 17th Street, Suite 1000, Denver, CO 80202",2015-02-17,2015-11-24,14
"Hilton Worldwide, Inc., 7930 Jones Branch Dr., McLean, VA 22102",2014-11-18,2015-11-24,NA
"Hilton Worldwide, Inc., 7930 Jones Branch Dr., McLean, VA 22102",2015-04-21,2015-11-24,NA
"Wilderness Hotel and Golf Resort, P.O. Box 830, Wisconsin Dells, WI 53965",2015-03-09,2015-11-20,NA
"Intuit, Inc., 2535 Garcia Ave., Mountain View, CA  94043",2015-10-12,2015-11-17,24
Fashion to Figure,2015-05-19,2015-11-13,14
"Nobel House Hotels & Resorts, 600 6th Street South, Kirkland, WA 98033",2014-12-29,2015-11-13,46
"Integrated Listening Systems, LLC, 2851 S. Parker Road, Suite 800, Aurora, CO  80014",2015-05-18,2015-11-12,4
"C Stars of Maine, 35 Bradley Drive, Westbrook, ME  04092  (do the POS system for The Common Market)",2015-08-11,2015-11-06,NA
"Boston University, ",NA,2015-11-04,2
"Santander Bank, 75 State Street, Boston, MA 02109",2015-06-01,2015-11-02,1
"Dow Corning Corp., 1 East Main Street, Bay City, Michigan 48708",2015-08-31,2015-10-30,5
Mountain Travel Sobek,2015-07-10,2015-10-29,1
"Digital Theatre, LLC (operator of the ShowTix4U website)",2015-04-19,2015-10-28,3
"Yellowfront Grocery, Upper Main Street, Central Market Drive, Damariscotta, ME 04543",2015-08-11,2015-10-26,NA
"Interstitial Cystitis Network, 5636 Del Monte Court, Santa Rosa, CA 95409",2015-04-06,2015-10-26,7
"BMO Harris Bank, N.A. (Diner's Club), P.O. Box 6012, Carol Stream, IL 60197",2014-03-01,2015-10-23,1
"Nobel House Hotels & Resorts, 600 6th Street South, Kirkland, WA 98033",2015-01-28,2015-10-22,9
"N. Stevens Inc., 25 Richardson St,, Portland, ME  04103",2015-09-18,2015-10-16,1
"Service Systems Associates, Inc., 4699 Marion Street, Denver, CO 80216",2015-03-24,2015-10-14,NA
"Samela, Inc., d/b/a NorthShore Care Supply",2015-03-30,2015-10-08,58
"Dow Jones,1211 Avenue of the Americas, NY, NY 10038",NA,2015-10-09,NA
"T-Mobile USA, Inc., 12920 SE 38th Street, Bellevue, WA 98006",2015-09-14,2015-10-01,12952
"Actavis, Inc., 400 Interpace Parkway, Parsippany, NJ 07054",2015-08-25,2015-10-01,10
"Kohl's Department Stores, Inc.",NA,2015-09-29,1
"Becker & Mayer LLC, 11120 NE 33rd place, Suite 101, Bellevue, WA 98004",2015-04-01,2015-09-28,2
"Trump Hotel Collection (Trump International Hotel & Tower Las Vegas, 2000 Fashoin Show Dr., Las Vegas, NV 98109 & Trump Int'l Waikiki, 223 Saratoga Rd., Honolulu, HI 96815",2014-05-19,2015-09-25,NA
"Scottrade Financial Services, Inc., P.O. Box 31759, St. Louis, MO 63131",2015-07-01,2015-09-25,3
Rite Aid Corporation,2014-08-20,2015-09-22,1674
"Bed, Bath & Beyond, Inc.",NA,2015-09-22,1
"Costco Photo Center, 999 Lake Drive, Issaquah, WA 98027",2014-06-19,2015-09-21,58
TD Bank,NA,2015-09-03,1
"The Lifetime Healthcare Companies, including its affiliates Excellus BCBS, Lifetime Health Medical Group, Lifetime Benefit Solutions, Lifetime Care, The MedAmerica Companies, and Univera Healthcare, 165 Court Street, Rochester, NY 14647",2013-12-23,2015-09-09,NA
"ACE Surgical Supply Co., Inc.                                                                                                                                                                                         ",NA,2015-09-04,7
"Sunquest Information Systems, Inc., 250 South Williams Blvd, Tuscon, AZ 85711",2015-07-27,2015-08-26,5
"Wm. T. Burnett & Co./STX, 1500 Bush Street, Baltimore, MD 21230",2015-04-26,2015-08-21,2
"Milk Nursingwear, 1801 Peachtree Street, Suite 300, Atlanta, GA 30309",2015-07-13,2015-08-20,1
"SterlingBackcheck, 1 State Street Plaza, 24th Floor, New York, NY 10004.",2015-05-29,2015-07-08,228
"Genworth, Data Security Team, P.O. Box 320, Lynchburg, VA 24505",2015-07-28,2015-08-19,4
"Vewpoint, Inc., 1515 SE Water Avenue, Suite 300, Portland, OR 97214",2015-07-09,2015-08-18,1
"Totally Promotional, 128 W. Market Street, Celina, Ohio 45822",2015-06-23,2015-08-17,14
"Milestone Hospitality Management, LLC, 717 Light Street, Baltimore, ME 21230",2015-06-02,2015-08-14,12
"CoWorx Staffing Services, P.O. Box 7130, 1375 Plainfield Avenue, Watchung, NJ 07069",NA,2015-08-17,NA
"Newton Running Company, 1375 Walnut Street, #100, Boulder, CO 80302",2015-04-26,2015-08-11,1
"Green Wave Scientific, Inc., 2720 Discovery Drive, Raleigh, NC 27616",2015-06-03,2015-08-10,14
"Co Staff Services, 29100 Northwestern Highway, Suite 240, Southfield, MI 48034",2015-07-31,2015-08-07,1
"SMS Hospitality, LLC, 7701 Universal Blvd, Orlando, FL 32819",2015-05-28,2015-08-07,1
"WP Technology Inc., d/b/a Wattpad, 36 Wellington Street East, Suite 200, Toronto, Ontario, Ontario, Canada M5E 1C7",2015-05-29,2015-08-05,7000
"Quest Diagnostics, 1290 Walll Street West, Lyndhurst, NJ 07071",2015-05-06,2015-08-03,1
"SterlingBackcheck, 1 State Street Plaza, 24th Floor, New York, NY 10004.",2015-05-29,2015-07-31,NA
HSBC Bank USA National Association,2015-06-19,2015-07-24,3
YMCA of Greater Pittsburgh,2015-06-07,2015-07-23,1
"York Hospital Imaging Services, 15 Hospital Drive, York, Maine 03909",2015-02-17,2015-07-21,1
"Ransomed Heart Ministries, 4965 N. 30th St., Colorado Springs, CO 80919",2015-04-28,2015-07-17,6
"UCLA Health, 757 Westwood Plaza, Los Angeles, CA 90095",2014-09-21,2015-07-17,423
TD Bank,NA,2015-07-10,1
Amsterdam Nursing Home Corporation,2015-01-31,2015-07-10,2
"Hershey Entertainment and Resorts Company; 27 W. Chocolate Avenue; Hershey, PA 17033",2015-02-14,2015-07-10,111
"Boston University, 1 Silber Way, Boston, MA 02215",2015-03-01,2015-07-10,7
Mandarin Oriental ,2014-06-18,2015-07-10,28
"Aerogrow International, Inc., 6075 Longbow Drive, Boulder, CO 80301",2015-05-13,2015-07-09,19
Fidelity Investments,2012-07-12,2015-07-07,4
"Arkema, Inc.; 900 First Avenue, King of Prussia, PA 19406",2015-05-26,2015-07-06,18
Genius Central,2014-10-01,2015-06-24,4
"Manchester Hotel Hospitality, LLC; 409 Montbrook Lane, Knoxville, TN 37919",2014-10-13,2015-06-23,2
Aspex Pos,2015-05-01,2015-06-23,1
Corkys Bbq,2015-05-01,2015-06-23,2
Erincondren.com,2015-05-01,2015-06-23,11
Home Depot,2015-05-01,2015-06-23,5208
"Bank of Manhattan--Mortgage Lending, 2131 Rosecrans Ave., Suite 1100, El Segundo, CA 90245",2015-05-29,2015-06-25,2
"LC Industries, 4500 Emporer Blvd, Durham, NC 27703",2015-02-10,2015-06-19,14
"Dungarees, LLC, 500 East Broadway, Columbia, MO 65201",2015-03-26,2015-06-19,140
"Flora Springs Winery & Vineyards, 1978 West Zinfandel Lane, St. Helena, CA 94574",2015-04-01,2015-06-18,4
"Donelan Family Wines, LLC, 3352-D Coffey Lane, Santa Rosa, CA 95403",2015-04-01,2015-06-18,1
"Charles Krug Winery (C. Mondavi & Family), 2800 Main Street, St. Helena, CA 94574",2015-04-01,2015-06-18,5
"Fisher Vineyard, 6200 St. Helena Road, Santa Rosa, CA 95404 ",2015-04-01,2015-06-18,4
"Corison Winery, 987 St. Helena Way, St. Helena, CA 94574",2015-04-01,2015-06-18,9
"Cain Vinyard & Winery, 3800 Langtry, St. Helena, CA 94574",2015-04-01,2015-06-18,3
"Clif Bar Family Winery & Farm, LLC, 1312 Vidovich Ave., St. Helena, CA 94574",2015-04-01,2015-06-12,10
"Peter Michael Winery, 12400 Ida Clayton Road, Calistoga, CA 94515",2015-04-12,2015-06-12,5
"Global Care Delivery, Inc., c/o Mark Bodnar, 391 Las Colinas Blvd. East, Suite 130715; Irving, TX 75039",2014-09-02,2015-06-12,2
"Rombauer Vineyards, Inc., 3522 Silverado Trail, St. Helena, CA 94574",2015-04-01,2015-06-11,11
"Covanta Projects, LLC, 445 South Street, Morristown, NJ 07960",2015-05-19,2015-06-10,NA
"Akorn, Inc.",NA,2015-06-04,1
"Hartland Dental LLC, 1200 Network Centre Drive., Effingham, IL 62401",2013-03-31,2015-06-04,1
"Aerogrow International, Inc., 6075 Longbow Drive, Boulder, CO 80301",2014-10-15,2015-06-03,295
Intimacy Mangement Company,2014-12-15,2015-06-03,5
"U.S. HealthWorks, 1730 1 St., Sacramento, CA 95821",2015-04-22,2015-05-29,17
"Sally Beauty Holdings, Inc. (Sally Beauty), 3001 Colorado Blvd, Denton, TX 76210",2015-03-06,2015-05-28,NA
"Unity Recovery Group, Inc., 630 US Highway 1, Floor 4, North Palm Beach, FL 33408",2014-04-01,2015-05-26,1
"CareFirst BlueCross BlueShield, 1501 S. Clinton Street, Baltimore, MD 21224",2014-06-19,2015-05-20,6
Fosters Grille Cape Coral,2015-04-01,2015-05-19,1
Jimmy John's Corporate,2015-04-01,2015-05-19,4
Kmart,2015-04-01,2015-05-19,716
Park N Fly Online-Reserve,2015-04-01,2015-05-19,3
"Hotel Beacon, 2130 Broadway at 75th Street, NY, NY 10023",2015-01-08,2015-05-19,12
"The Pennsylvania State University, College of Engineering, 101 Hammond Building, University Park, PA 16802-1400",2012-09-01,2015-05-18,14
"Medical Management LLC, ",2013-02-01,2015-05-13,6
"LCRX, 8240 East Gelding Dr., Suite 115, Scottsdale, AZ 85260",2015-01-09,2015-05-04,1
"Honig's Whistle Stop, 7136 Jackson Rd., Ann Arbor, MI 48103",2015-03-08,2015-05-01,34
"FreedomSmokes, Inc., 1039 Carrier Drive, Charlotte, NC 28216",2015-02-11,2015-04-20,61
"Providence Hospital, 1150 Varnum St., N.E., Washington, DC 20017",2014-12-03,2015-04-15,1
"Intuit, Inc., 2535 Garcia Ave., Mountain View, CA  94043",2014-10-01,2015-04-14,40
"Jimmy The Greek's , Maine Mall, 150 Philbrook Rd., S. Portland, Maine 04106",2015-01-22,2015-04-07,NA
"Intuit, Inc., 2535 Garcia Ave., Mountain View, CA  94043",2014-02-01,2015-02-15,24
"Advanced Data Processing, Inc.",2012-10-01,2015-04-02,16
"SRI, Inc., 8082 Bash St, Indianapolis, Indiana 46250",2014-12-01,2015-04-02,4
"Franklin & Marshall College, P.O. Box 3003, Lancaster, PA 17604",2013-03-27,2015-04-02,2
Weyerhaeuser (through Premera),2014-05-01,2015-04-02,NA
"Essex Property Trust, Inc., 925 East Meadow Drive, Palo Alto, CA 94303",2013-08-13,2015-04-01,3
"Law Enforcement Targets, 8802 West 35W Service Dr. NE, Blaine, MN  55449",2015-03-03,2015-03-17,1
Health Care Service Corporation (Premera Blue Cross),2014-05-05,2015-03-27,NA
"Nite Ize, Inc.",2015-03-03,2015-03-27,284
"OneStopParking, 7821 Commerce Dr., Suite 411, Florence, KY 41042",2014-08-01,2015-03-17,10
"Premera Blue Cross, including its affiliates Academe, Inc., (fka LifeWise Health Plan of Arizona), Connexion Ins Solutions, LifeWise Health Plan of Washington, LifeWise Health Plan of Oregon, LifeWise Assurance Co. and Vivacity, Inc., 7001 220th St. SW, MS 355, Mountlake Terrace, WA 98043",2014-05-05,2015-03-17,NA
"Betterbee, 8 Meader Road, Greenwich, NY 12834",2015-03-03,2015-03-16,2
Kraft Music LTD,2015-12-21,2015-03-03,2
"AbsoluteCredit, LLC, 175 Exchange Street, Bangor, ME 04401",2014-11-19,2015-03-04,42
"Bulk Reef Supply, Inc., 6325 Sandburg Road, Golden Valley, MN 55427",2014-07-30,2015-02-27,47
"Uber Technologies, Inc., 182 Howard Street, Suite 8, San Francisco, CA  94105",2014-05-13,2015-02-26,1
"University of Chicago Biological Sciences Division's Dept. of Medicine, 5841 So. Maryland Ave, MC 6092, Chicago, IL 60637",2014-12-25,2015-02-26,3
"Lime Crime, Inc.",2014-10-04,2015-02-24,104
"Exponent Technologies, Inc., 4970 Landmark Place, Dallas, TX 75254",2015-01-01,2015-02-17,3
Intuit Inc.,2014-04-01,2015-02-15,37
"Frederick County Public Schools, 191 South East Sreet, Frederick, MD 21701",2015-01-20,2015-02-13,1
"Big Fish Games, Inc., 333 Elliot Avenue West, Suite 200, Seattle, WA  98119",2014-12-24,2015-02-10,175
Anthem,2014-12-10,2015-06-02,NA
"Kohl's Department Stores, Inc.",NA,2015-02-05,3
"Sky Casino LLC, 8670 Indiana 56, French Lick, IN 47432",2014-04-23,2015-02-01,17
Umass Memorial Medical Group,2014-01-07,2015-01-30,24
"Direct Marketing Assn. 1615 L St., NW, Suite 1100, Washington, DC 20036",2013-08-01,2015-01-28,1
Cyberswim Inc.,2014-12-01,2015-01-20,4
Dare County ABC #4,2014-12-01,2015-01-20,1
Dinovite,2014-12-01,2015-01-20,1
Fabrick Shack Ecommerce,2014-12-01,2015-01-20,1
Lokai,2014-12-01,2015-01-20,5
PPL RV Parts Superstore,2014-12-01,2015-01-20,2
Sandpearl Resort,2014-12-01,2015-01-20,3
Staples,2014-12-01,2015-01-20,351
Viator Tours and attractions,2014-12-01,2015-01-20,10
"Barbecue Renew, Inc.",2014-01-01,2015-01-16,332
"Oppenheimer Funds Services, P.O. Box 5270, Denver, CO  80217",2014-01-25,2015-01-15,NA
"Piech Slaes Company, LLC, d/b/a Value Pet Supplies; 167 Industrial Park Cir, Livingston, TN 38570-6041",2014-11-25,2015-01-14,34
"Alin Machining Company, Inc. (d/b/a Power Plant Services; 3131 W. Soffel Ave, Melrose Park, IL 60160",2014-11-07,2015-01-12,2
Heartland Credit Union,2014-11-09,2015-01-06,1
Art of Tea,2014-10-16,2014-12-31,9
"Park 'N Fly (""PNF""), 3399 Peachtree Road, Atlanta, GA 30326",2013-11-27,2014-12-30,53
"Lokai Holdings, LLC, 170 Varick Street, 12 Floor, NY, NY 10013",2014-07-18,2014-12-24,324
"Azusa Pacific University, 901 East Alosta Ave., Azusa, CA  91702",2014-11-17,2014-12-22,1
"Staples, Inc,",2014-08-10,2014-12-19,NA
"Quest Diagnostics, 1290 Wall Street West, Lyndhurst, NJ 07071",2014-11-17,2014-12-19,6
"Mosaic Sales Solutions US Operating Co., LLC",2014-11-10,2014-12-12,630
"bebe stores, Inc., ",2014-11-08,2014-12-05,18
"E-Conolight, LLC1501 96th Street, Sturtevant, WI 53177",2014-09-01,2014-12-05,NA
Camden National Bank,NA,2014-12-03,4
TD Bank,NA,2014-11-25,1
"Novo Nordisk, Inc.",NA,2014-11-25,1
Simms Fishing Products,2014-09-01,2014-11-25,19
Fidelity Investments ,2014-04-24,2014-11-24,1
Visionworks,NA,2014-11-24,5
Bartell Hotels,2014-10-01,2014-11-19,1
Cowboys BBQ & Steak of FT Pierce,2014-10-01,2014-11-19,1
Key West Crowne Plaza,2014-10-01,2014-11-19,1
Nomorerack.com,2014-10-01,2014-11-19,251
PF Chang's China Bistro,2014-10-01,2014-11-19,7
PHE Inc Sinclir Institute,2014-10-01,2014-11-19,2
"Sourcebooks, Inc., ",2014-10-01,2014-11-19,1
Stay 123.com,2014-10-01,2014-11-19,7
"Evolution Nature Corp., d/b/a The Evolution Store",2014-03-02,2014-10-09,5
Green Energy Training Academy,2013-10-19,2014-10-27,1
"Reeves International, Inc. (operator of Breyer Horses website)",2013-03-31,2014-10-23,110
Hampton Inn Revere,2014-09-01,2014-10-20,6
Neiman Marcus,2014-09-01,2014-10-20,3
The Natural Online,2014-09-01,2014-10-20,3
"Cyberswim, Inc.",2014-05-12,2014-10-14,103
"International Dairy Queen, Inc.",2014-08-01,2014-10-09,NA
"Advanced Data Processing , Inc. and its clients, City of Alexandria, Virginia and City of Alexandria Fire Dept.",2012-10-01,2014-10-08,1
UIL Holdings Corporation,2014-09-13,2014-10-06,12
"The UPS Store, Inc.",2014-01-20,2014-10-01,NA
"AB Acquisition LLC, parent company of New Albertson's Inc.  (21 stores under the Shaw's banner in Maine)",2014-08-27,2014-09-29,NA
RB Portalnd LLC,2014-06-02,2014-09-29,NA
"Dworken, Hillman, LaMorte & Sterczala, P.C.",2014-09-12,2014-10-01,7
USAA Federal Savings Bank (The UPS Store),2014-01-20,2014-09-26,3
Tremec,NA,2014-09-08,NA
Bartell Hotels,2014-02-16,2014-09-12,21
"Miami Beach Healthcare Group, Ltd., d/b/a Aventura Hospital & Medical Center",2012-09-13,2014-09-09,9
"The Home Depot, Inc., ",2014-04-01,2014-09-09,NA
"California State University, East Bay",2013-08-23,2014-09-05,3
Camden National Bank,NA,2014-09-05,2
LPL Financial LLC,2013-11-14,2014-09-03,1
The Dreslyn,2014-04-23,2014-08-04,1
"Imhoff & Associates, P.C.",2014-06-27,2014-08-26,NA
Ghirardelli #109,2014-07-01,2014-08-19,6
My Computer Works,2014-07-01,2014-08-19,1
Ticher BMW Porche,2014-07-01,2014-08-19,1
Otto Pizza,2014-05-01,2014-08-21,900
Geekface LLC,2014-08-05,2014-08-21,6
"Freedom Management Group, LLC d/b/a The Natural",2014-04-22,2014-08-14,42
Polish Falcons of America,2014-06-14,2014-08-01,1
"Test Effects, LLC",2013-12-24,2014-08-04,163
Chicago Yacht Club,2014-04-26,2014-07-31,1
USAA Federal Savings Bank,2014-06-23,2014-07-21,1
Vendors Exchange International,2014-06-25,2014-07-17,1
"Freshology, Inc.",2014-01-03,2014-07-14,1
EndNote,2014-02-01,2014-07-10,1
"Dennis East International, LLC",2014-05-28,2014-06-30,2
"Atlantic Automotive Corp., d/b/a MileOne Automotive",2014-03-05,2014-06-23,21
"Sterne, Agee & Leach, Inc.",2014-05-29,2014-06-26,NA
Butler University,2013-11-01,2014-06-26,396
Cowboys BBQ & Steak Co.,2014-05-01,2014-06-24,1
Target,2014-05-01,2014-06-24,89
AT&T,2013-11-05,2014-06-11,76
Herbaria,2014-05-01,2014-06-06,1
AutoNation,2014-03-05,2014-05-26,8
Lowe's ,2013-07-01,2014-05-19,266
Affinity Gaming,2013-12-07,2014-05-16,NA
Gingerbread Shed Corporation,2013-11-25,2014-05-05,22
Umass Memorial Medical Center,2002-05-06,2014-05-05,NA
Boomerang Tags,2013-07-04,2014-04-25,210
Central City Concern,2010-03-23,2014-04-25,5
"L. Brands, Inc. (Victoria's Secret Store)",2013-04-01,2014-04-23,NA
"Snelling Staffing, LLC",2014-01-20,2014-04-22,1
"Michael's Stores, Inc. (including Aaron Brothers) UPDATE from 1/27/14 notice",2013-05-08,2014-04-18,NA
LaCie USA,2013-03-27,2014-04-11,73
UMS,2013-01-23,2014-04-04,12
Santander Bank,2014-01-01,2014-04-03,1
"RK Internet, LLC (Rural King)",2014-02-06,2014-04-02,15
Sorenson Communications,2014-02-20,2014-03-27,NA
Ithaka,2014-03-17,2014-03-27,1
Human Resource Advantage,2014-03-01,2014-03-25,2
"Wolf and Co., P.C.",2014-03-11,2014-03-20,1
Oak Associates Funds,2014-01-23,2014-03-06,5
Neiman Marcus Group,2013-04-01,2014-03-05,18
Embassy Suites,2013-06-18,2014-03-04,1
"McKenna, Long & Aldridge, LLP",2013-11-28,2014-02-28,1
"Assisted Living Concepts, LLC",2013-12-14,2014-02-26,3
The Home Depot  (Update dated 3/14/14 bringing # of affected Maine residents from 40 up to 54),2011-02-07,2014-02-10,54
"White Lodging Services Corp. (""White Lodging"")",2013-03-20,2014-02-06,NA
"80sTees.com, Inc. UPDATE",2012-06-01,2014-02-03,248
St. Joseph Health System,2013-12-16,2014-02-03,24
Neiman Marcus Group,2013-07-16,2014-01-25,484
Santander Bank,2013-08-01,2014-01-06,1
"Orient Express Hotels, Ltd.",2013-07-01,2013-12-20,2
Combat Sports,2013-11-06,2013-12-20,2
Target,2013-11-27,2013-12-19,115000
Classic Industries,2013-11-01,2013-12-18,36
Long Beach Pharacy,2013-11-01,2013-12-18,1
Nomorerack.com,2013-11-01,2013-12-18,120
Sachi Japanese Steakhouse,2013-11-01,2013-12-18,1
Smart Cover Cosmetics,2013-11-01,2013-12-18,4
"Horizon Healthcare Services, Inc. d/b/a Horizon Blue Cross Blue Shield of NJ",2013-11-01,2013-12-06,579
